model,trial,best_fitness
GA,1,123.75178
GA,2,130.2440533333333
GA,3,126.07394333333336
GA,4,128.0712
GA,5,131.24341333333334
GA,6,128.87632333333332
GA,7,130.56150666666665
GA,8,125.38216333333334
GA,9,130.42254
GA,10,130.04062
HGS,1,122.13239333333335
HGS,2,127.00735666666667
HGS,3,123.48574000000002
HGS,4,129.89615333333333
HGS,5,122.46226666666668
HGS,6,123.12851333333334
HGS,7,124.09722333333333
HGS,8,130.07236333333333
HGS,9,130.42254
HGS,10,123.20819666666667
ARO,1,123.20819666666667
ARO,2,122.17044666666666
ARO,3,123.84782666666668
ARO,4,124.29429
ARO,5,122.27113999999999
ARO,6,120.16186
ARO,7,121.47951666666667
ARO,8,120.27423666666667
ARO,9,121.78087666666667
ARO,10,121.05167333333334
EFO,1,142.93709333333334
EFO,2,150.77147000000002
EFO,3,143.67574
EFO,4,140.59379
EFO,5,162.05385666666666
EFO,6,144.63689666666667
EFO,7,154.32144333333335
EFO,8,162.78791333333336
EFO,9,150.50705666666667
EFO,10,155.77063333333334
TLO,1,123.63555666666667
TLO,2,119.72513
TLO,3,117.44214
TLO,4,129.46598333333336
TLO,5,125.51175333333333
TLO,6,117.40776000000001
TLO,7,123.10798333333334
TLO,8,125.63547
TLO,9,122.42865666666667
TLO,10,127.19909
SMA,1,123.12318666666667
SMA,2,122.74434333333333
SMA,3,119.78019333333334
SMA,4,124.21234333333334
SMA,5,122.51295333333333
SMA,6,121.40978333333335
SMA,7,123.15202000000001
SMA,8,117.99957666666667
SMA,9,117.99957666666667
SMA,10,124.07446333333333
AAEO,1,124.59607000000001
AAEO,2,132.6787666666667
AAEO,3,127.83608666666667
AAEO,4,136.4432866666667
AAEO,5,129.19519333333332
AAEO,6,126.38048333333334
AAEO,7,120.16186
AAEO,8,129.88086
AAEO,9,123.20819666666667
AAEO,10,126.75355000000002
RUN,1,120.32967666666666
RUN,2,118.95343000000001
RUN,3,120.35362333333335
RUN,4,121.64388
RUN,5,119.37443333333334
RUN,6,122.32207
RUN,7,127.93399666666669
RUN,8,121.06944333333333
RUN,9,121.92892666666667
RUN,10,122.37426333333333
